#      MET_(days)     MET_(hours)  Alt_J2_(km)  Alt_mer(km)  Perigee_(km)   Apogee_(km)  Latitude  Longitude  Eccentricity   TrueAnomly  Atm_Drag_(N)        Tn_(K)     F10.7_curr
      0.028819444       0.6916667     584.3797     590.2954      150.0000      600.0000  12.81534   59.12181   0.033352109  163.6574160    0.0000e+00        0.0000        116.000
      0.029166667       0.7000000     586.2094     592.3419      150.0000      600.0000  11.38789   60.18983   0.033352109  165.4950775    0.0000e+00        0.0000        116.000
      0.029513889       0.7083333     587.8240     594.1496      150.0000      600.0000   9.95631   61.24540   0.033352109  167.3317221    0.0000e+00        0.0000        116.000
      0.029861111       0.7166667     589.2226     595.7166      150.0000      600.0000   8.52117   62.29020   0.033352109  169.1674770    0.0000e+00        0.0000        116.000
      0.030208333       0.7250000     590.4043     597.0416      150.0000      600.0000   7.08302   63.32587   0.033352109  171.0024699    0.0000e+00        0.0000        116.000
      0.030555556       0.7333333     591.3683     598.1232      150.0000      600.0000   5.64242   64.35399   0.033352109  172.8368292    0.0000e+00        0.0000        116.000
      0.030902778       0.7416667     592.1142     598.9604      150.0000      600.0000   4.19986   65.37615   0.033352109  174.6706834    0.0000e+00        0.0000        116.000
      0.031250000       0.7500000     592.6415     599.5525      150.0000      600.0000   2.75586   66.39388   0.033352109  176.5041616    0.0000e+00        0.0000        116.000
      0.031597222       0.7583333     592.9498     599.8987      150.0000      600.0000   1.31093   67.40872   0.033352109  178.3373930    0.0000e+00        0.0000        116.000
      0.031944444       0.7666667     593.0390     599.9989      150.0000      600.0000  -0.13445   68.42220   0.033352109  180.1705069    0.0000e+00        0.0000        116.000
      0.032291667       0.7750000     592.9091     599.8529      150.0000      600.0000  -1.57978   69.43581   0.033352109  182.0036329    0.0000e+00        0.0000        116.000
      0.032638889       0.7833333     592.5600     599.4609      150.0000      600.0000  -3.02458   70.45107   0.033352109  183.8369004    0.0000e+00        0.0000        116.000
      0.032986111       0.7916667     591.9920     598.8232      150.0000      600.0000  -4.46834   71.46951   0.033352109  185.6704388    0.0000e+00        0.0000        116.000
      0.033333333       0.8000000     591.2055     597.9405      150.0000      600.0000  -5.91058   72.49266   0.033352109  187.5043772    0.0000e+00        0.0000        116.000
      0.033680556       0.8083333     590.2009     596.8135      150.0000      600.0000  -7.35077   73.52207   0.033352109  189.3388446    0.0000e+00        0.0000        116.000
      0.034027778       0.8166667     588.9788     595.4434      150.0000      600.0000  -8.78839   74.55931   0.033352109  191.1739696    0.0000e+00        0.0000        116.000
      0.034375000       0.8250000     587.5400     593.8315      150.0000      600.0000 -10.22291   75.60599   0.033352109  193.0098803    0.0000e+00        0.0000        116.000
      0.034722222       0.8333333     585.8853     591.9792      150.0000      600.0000 -11.65377   76.66375   0.033352109  194.8467045    0.0000e+00        0.0000        116.000
      0.035069444       0.8416667     584.0157     589.8885      150.0000      600.0000 -13.08039   77.73428   0.033352109  196.6845692    0.0000e+00        0.0000        116.000
      0.035416667       0.8500000     581.9325     587.5613      150.0000      600.0000 -14.50216   78.81931   0.033352109  198.5236008    0.0000e+00        0.0000        116.000
      0.035763889       0.8583333     579.6368     584.9998      150.0000      600.0000 -15.91844   79.92063   0.033352109  200.3639250    0.0000e+00        0.0000        116.000
      0.036111111       0.8666667     577.1302     582.2065      150.0000      600.0000 -17.32856   81.04009   0.033352109  202.2056664    0.0000e+00        0.0000        116.000
      0.036458333       0.8750000     574.4141     579.1841      150.0000      600.0000 -18.73182   82.17962   0.033352109  204.0489491    0.0000e+00        0.0000        116.000
      0.036805556       0.8833333     571.4904     575.9356      150.0000      600.0000 -20.12745   83.34120   0.033352109  205.8938958    0.0000e+00        0.0000        116.000
      0.037152778       0.8916667     568.3608     572.4640      150.0000      600.0000 -21.51465   84.52691   0.033352109  207.7406281    0.0000e+00        0.0000        116.000
      0.037500000       0.9000000     565.0275     568.7729      150.0000      600.0000 -22.89257   85.73892   0.033352109  209.5892666    0.0000e+00        0.0000        116.000
      0.037847222       0.9083333     561.4926     564.8657      150.0000      600.0000 -24.26029   86.97947   0.033352109  211.4399304    0.0000e+00        0.0000        116.000
      0.038194444       0.9166667     557.7584     560.7464      150.0000      600.0000 -25.61682   88.25092   0.033352109  213.2927372    0.0000e+00        0.0000        116.000
      0.038541667       0.9250000     553.8275     556.4189      150.0000      600.0000 -26.96111   89.55573   0.033352109  215.1478033    0.0000e+00        0.0000        116.000
      0.038888889       0.9333333     549.7025     551.8877      150.0000      600.0000 -28.29202   90.89644   0.033352109  217.0052434    0.0000e+00        0.0000        116.000
      0.039236111       0.9416667     545.3863     547.1570      150.0000      600.0000 -29.60833   92.27573   0.033352109  218.8651702    0.0000e+00        0.0000        116.000
      0.039583333       0.9500000     540.8819     542.2318      150.0000      600.0000 -30.90872   93.69636   0.033352109  220.7276950    0.0000e+00        0.0000        116.000
      0.039930556       0.9583333     536.1925     537.1169      150.0000      600.0000 -32.19176   95.16121   0.033352109  222.5929269    0.0000e+00        0.0000        116.000
      0.040277778       0.9666667     531.3214     531.8174      150.0000      600.0000 -33.45593   96.67327   0.033352109  224.4609731    0.0000e+00        0.0000        116.000
      0.040625000       0.9750000     526.2723     526.3388      150.0000      600.0000 -34.69957   98.23558   0.033352109  226.3319385    0.0000e+00        0.0000        116.000
      0.040972222       0.9833333     521.0488     520.6865      150.0000      600.0000 -35.92089   99.85130   0.033352109  228.2059259    0.0000e+00        0.0000        116.000
      0.041319444       0.9916667     515.6550     514.8664      150.0000      600.0000 -37.11798  101.52363   0.033352109  230.0830357    0.0000e+00        0.0000        116.000
